YMS, HM, Used
20180531.000000, 1045.000000, 0.924000
20180531.000000, 1030.000000, 0.926000
20180531.000000, 1130.000000, 1.140000
20180531.000000, 1115.000000, 0.904000
20180531.000000, 1100.000000, 0.942000
20180531.000000, 1045.000000, 0.924000
20180531.000000, 1030.000000, 0.926000
20180531.000000, 1015.000000, 1.028000
20180531.000000, 1115.000000, 0.904000
20180531.000000, 1100.000000, 0.942000
20180531.000000, 1045.000000, 0.924000
20180531.000000, 1030.000000, 0.926000
20180531.000000, 1015.000000, 1.028000
20180531.000000, 1000.000000, 0.144000
20180531.000000, 1100.000000, 0.942000
20180531.000000, 1045.000000, 0.924000
20180531.000000, 1030.000000, 0.926000
20180531.000000, 1015.000000, 1.028000
20180531.000000, 1000.000000, 0.144000
20180531.000000, 945.000000, 0.028000
20180531.000000, 1045.000000, 0.924000
20180531.000000, 1030.000000, 0.926000
20180531.000000, 1015.000000, 1.028000
20180531.000000, 1000.000000, 0.144000
20180531.000000, 945.000000, 0.028000
20180531.000000, 930.000000, 0.042000
20180531.000000, 1030.000000, 0.926000
20180531.000000, 1015.000000, 1.028000
20180531.000000, 1000.000000, 0.144000
20180531.000000, 945.000000, 0.028000
20180531.000000, 930.000000, 0.042000
20180531.000000, 915.000000, 0.042000
20180531.000000, 1015.000000, 1.028000
20180531.000000, 1000.000000, 0.144000
20180531.000000, 945.000000, 0.028000
20180531.000000, 930.000000, 0.042000
20180531.000000, 915.000000, 0.042000
20180531.000000, 900.000000, 0.026000
20180531.000000, 1000.000000, 0.144000
20180531.000000, 945.000000, 0.028000
20180531.000000, 930.000000, 0.042000
20180531.000000, 915.000000, 0.042000
20180531.000000, 900.000000, 0.026000
20180531.000000, 845.000000, 0.024000
20180531.000000, 945.000000, 0.028000
20180531.000000, 930.000000, 0.042000
20180531.000000, 915.000000, 0.042000
20180531.000000, 900.000000, 0.026000
20180531.000000, 845.000000, 0.024000
20180531.000000, 830.000000, 0.024000
20180531.000000, 930.000000, 0.042000
20180531.000000, 915.000000, 0.042000
20180531.000000, 900.000000, 0.026000
20180531.000000, 845.000000, 0.024000
20180531.000000, 830.000000, 0.024000
20180531.000000, 815.000000, 0.028000
20180531.000000, 915.000000, 0.042000
20180531.000000, 900.000000, 0.026000
20180531.000000, 845.000000, 0.024000
20180531.000000, 830.000000, 0.024000
20180531.000000, 815.000000, 0.028000
20180531.000000, 800.000000, 0.040000
20180531.000000, 900.000000, 0.026000
20180531.000000, 845.000000, 0.024000
20180531.000000, 830.000000, 0.024000
20180531.000000, 815.000000, 0.028000
20180531.000000, 800.000000, 0.040000
20180531.000000, 745.000000, 0.044000
20180531.000000, 845.000000, 0.024000
20180531.000000, 830.000000, 0.024000
20180531.000000, 815.000000, 0.028000
20180531.000000, 800.000000, 0.040000
20180531.000000, 745.000000, 0.044000
20180531.000000, 730.000000, 0.024000
20180531.000000, 830.000000, 0.024000
20180531.000000, 815.000000, 0.028000
20180531.000000, 800.000000, 0.040000
20180531.000000, 745.000000, 0.044000
20180531.000000, 730.000000, 0.024000
20180531.000000, 715.000000, 0.024000
20180531.000000, 815.000000, 0.028000
20180531.000000, 800.000000, 0.040000
20180531.000000, 745.000000, 0.044000
20180531.000000, 730.000000, 0.024000
20180531.000000, 715.000000, 0.024000
20180531.000000, 700.000000, 0.026000
20180531.000000, 800.000000, 0.040000
20180531.000000, 745.000000, 0.044000
20180531.000000, 730.000000, 0.024000
20180531.000000, 715.000000, 0.024000
20180531.000000, 700.000000, 0.026000
20180531.000000, 645.000000, 0.024000
20180531.000000, 745.000000, 0.044000
20180531.000000, 730.000000, 0.024000
20180531.000000, 715.000000, 0.024000
20180531.000000, 700.000000, 0.026000
20180531.000000, 645.000000, 0.024000
20180531.000000, 630.000000, 0.042000
20180531.000000, 730.000000, 0.024000
20180531.000000, 715.000000, 0.024000
20180531.000000, 700.000000, 0.026000
20180531.000000, 645.000000, 0.024000
20180531.000000, 630.000000, 0.042000
20180531.000000, 615.000000, 0.044000
20180531.000000, 715.000000, 0.024000
20180531.000000, 700.000000, 0.026000
20180531.000000, 645.000000, 0.024000
20180531.000000, 630.000000, 0.042000
20180531.000000, 615.000000, 0.044000
20180531.000000, 600.000000, 0.026000
20180531.000000, 700.000000, 0.026000
20180531.000000, 645.000000, 0.024000
20180531.000000, 630.000000, 0.042000
20180531.000000, 615.000000, 0.044000
20180531.000000, 600.000000, 0.026000
20180531.000000, 545.000000, 0.024000
20180531.000000, 645.000000, 0.024000
20180531.000000, 630.000000, 0.042000
